datetime,forecast_demand_smooth,forecast_demand_simulated
2025-01-01 01:00:00,7097.114392084453,7254.532572736214
2025-01-01 02:00:00,6938.677834783737,7194.855078861606
2025-01-01 03:00:00,6852.72035225097,6986.00589422257
2025-01-01 04:00:00,6888.288395806881,6425.270207921612
2025-01-01 05:00:00,6931.614697842733,6094.64784725136
2025-01-01 06:00:00,6790.068256813975,5893.666081190557
2025-01-01 07:00:00,6573.085290473086,5932.135116166748
2025-01-01 08:00:00,6131.245108683858,6212.5621535684395
2025-01-01 09:00:00,5732.111584039645,6354.941340811177
2025-01-01 10:00:00,5508.003205871651,5952.84901852457
2025-01-01 11:00:00,5443.9853729627375,5858.239488840782
2025-01-01 12:00:00,5605.423786256359,5918.316995307231
2025-01-01 13:00:00,5853.694127990784,5830.169922267999
2025-01-01 14:00:00,6387.057755861419,5525.203631061612
2025-01-01 15:00:00,7231.095241090256,5774.407819679679
2025-01-01 16:00:00,8128.218841020021,6636.758822082988
2025-01-01 17:00:00,8621.500641245935,7107.7271469140105
2025-01-01 18:00:00,8765.384129553897,7427.327177015995
2025-01-01 19:00:00,8614.893197871079,7250.384379388571
2025-01-01 20:00:00,8283.275112814159,7134.731964212743
2025-01-01 21:00:00,7975.1503983298035,7347.908617170574
2025-01-01 22:00:00,7648.093549246896,7372.650091889781
2025-01-01 23:00:00,7278.751383398334,7375.935288745758
2025-01-02 00:00:00,6937.531446396366,7192.073739136732
2025-01-02 01:00:00,6601.100461843235,7313.926406104482
2025-01-02 02:00:00,6416.1531181762775,7300.700185586338
2025-01-02 03:00:00,6348.697002378198,7530.009394357522
2025-01-02 04:00:00,6430.129784443941,7627.183523573028
2025-01-02 05:00:00,6530.599534564737,7498.080647882917
2025-01-02 06:00:00,6447.827423800398,6700.001837209289
2025-01-02 07:00:00,6263.434574271865,6114.681007710772
2025-01-02 08:00:00,5847.751998460326,5810.799689623741
2025-01-02 09:00:00,5476.020096364438,5866.26850598326
2025-01-02 10:00:00,5296.74182994436,5784.678919475328
2025-01-02 11:00:00,5276.19869697694,6214.987323903223
2025-01-02 12:00:00,5445.577957731891,6804.775229319213
2025-01-02 13:00:00,5707.731676008882,7680.261429456736
2025-01-02 14:00:00,6257.5543671331,8511.048058633538
2025-01-02 15:00:00,7119.677762507569,8787.458456900189
2025-01-02 16:00:00,8046.2032174958895,8787.63464906872
2025-01-02 17:00:00,8608.866320694393,8855.838790636893
2025-01-02 18:00:00,8760.399830319358,9166.964993127334
2025-01-02 19:00:00,8612.080618237433,9372.401942625493
2025-01-02 20:00:00,8279.425064174873,9217.148490163645
2025-01-02 21:00:00,7956.538056833803,8676.76908306332
2025-01-02 22:00:00,7617.298850111375,8200.558431211728
2025-01-02 23:00:00,7241.699882609972,8315.5485666009
2025-01-03 00:00:00,6883.459300916496,8047.555735284197
2025-01-03 01:00:00,6537.6465422038145,7664.161061019401
2025-01-03 02:00:00,6352.910987206849,7591.43583682858
2025-01-03 03:00:00,6287.819967008259,7454.11320290589
2025-01-03 04:00:00,6374.784483921896,7937.6171998391765
2025-01-03 05:00:00,6482.345714793222,8047.909563589669
2025-01-03 06:00:00,6407.080357640254,7364.270907855193
2025-01-03 07:00:00,6221.5799292502525,6850.669976380437
2025-01-03 08:00:00,5803.9315334552475,6815.7878734297965
2025-01-03 09:00:00,5432.148138219668,6765.378045510401
2025-01-03 10:00:00,5260.492576140305,6457.910433287902
2025-01-03 11:00:00,5248.3240738280665,6194.002834348346
2025-01-03 12:00:00,5414.238477676219,6395.896009429239
2025-01-03 13:00:00,5676.059066318656,6578.534368832965
2025-01-03 14:00:00,6227.185185176486,7043.9049504392715
2025-01-03 15:00:00,7091.7515505748,8231.168527943319
2025-01-03 16:00:00,8025.412769707331,9017.580688818447
2025-01-03 17:00:00,8610.480278538333,9393.204016033638
2025-01-03 18:00:00,8762.670262695596,9754.798185803254
2025-01-03 19:00:00,8613.55764394827,10224.296705777202
2025-01-03 20:00:00,8279.350529094307,10835.114117876927
2025-01-03 21:00:00,7950.161936108955,10707.46287366411
2025-01-03 22:00:00,7605.769231103527,10314.091576780544
2025-01-03 23:00:00,7227.357639451454,9637.703960884455
2025-01-04 00:00:00,6862.518778327176,8830.305434710777
2025-01-04 01:00:00,6512.987987430499,8169.172421237879
2025-01-04 02:00:00,6328.013523098576,7896.310453765559
2025-01-04 03:00:00,6263.468388412326,8128.245663401849
2025-01-04 04:00:00,6352.098374312229,8057.039549444261
2025-01-04 05:00:00,6461.930677208156,8085.095121245602
2025-01-04 06:00:00,6389.2423332163235,7615.151236397273
2025-01-04 07:00:00,6203.291592860766,7575.801873947659
2025-01-04 08:00:00,5785.052770989304,7106.273760619091
2025-01-04 09:00:00,5413.3699277812575,6696.870354637715
2025-01-04 10:00:00,5244.499605216815,6303.811007695457
2025-01-04 11:00:00,5235.3073156934015,6181.343954254284
2025-01-04 12:00:00,5399.799344322826,6764.5350857489875
2025-01-04 13:00:00,5661.287267153146,7493.857918429321
2025-01-04 14:00:00,6212.50607294951,8411.031957517589
2025-01-04 15:00:00,7077.393432436282,9730.62134832725
2025-01-04 16:00:00,8013.04430921104,10541.735122460184
2025-01-04 17:00:00,8605.869276048135,10641.761964100146
2025-01-04 18:00:00,8758.185062406272,10430.43514286283
2025-01-04 19:00:00,8608.860394064352,10054.947272338715
2025-01-04 20:00:00,8274.282539742393,9615.063251113159
2025-01-04 21:00:00,7942.9964029281655,9834.37069054367
2025-01-04 22:00:00,7596.93456796513,9512.01051313908
2025-01-04 23:00:00,7217.7269354414,8841.630937796685
2025-01-05 00:00:00,6850.709368220439,8078.584959630979
2025-01-05 01:00:00,6500.038063045211,7242.504476773302
2025-01-05 02:00:00,6315.08675546749,7107.705732867456
2025-01-05 03:00:00,6250.7764587685815,7679.0608130860555
2025-01-05 04:00:00,6339.954315559754,8098.862804778225
2025-01-05 05:00:00,6450.541960287791,8113.425659514113
2025-01-05 06:00:00,6378.8329634595175,8121.4015139039
2025-01-05 07:00:00,6192.831648748175,8073.591123220371
2025-01-05 08:00:00,5774.634709922326,7813.09646684859
2025-01-05 09:00:00,5403.216364491431,7633.307180190108
2025-01-05 10:00:00,5235.461294943114,6900.887939250251
2025-01-05 11:00:00,5227.355428488417,6527.895827221469
2025-01-05 12:00:00,5391.228712622482,6778.732553430361
2025-01-05 13:00:00,5652.434197630198,6972.118852712506
2025-01-05 14:00:00,6203.346714675916,7274.5657722234255
2025-01-05 15:00:00,7067.817573459066,7793.962607512822
2025-01-05 16:00:00,8003.61474366157,8849.370154138414
2025-01-05 17:00:00,8598.893063919051,9289.767530536346
2025-01-05 18:00:00,8751.160550621273,9330.583765128325
2025-01-05 19:00:00,8601.850679161433,9376.056448818468
2025-01-05 20:00:00,8267.344112232842,9384.302266864113
2025-01-05 21:00:00,7935.499797017778,9165.62793089173
2025-01-05 22:00:00,7589.0445740394225,8144.338108405705
2025-01-05 23:00:00,7209.781236977968,7474.01939870093
2025-01-06 00:00:00,6842.198056023846,7534.454511265779
2025-01-06 01:00:00,6491.328318331526,7713.325540254503
2025-01-06 02:00:00,6306.499329215763,7411.68245890659
2025-01-06 03:00:00,6242.313952825689,7528.936150904343
2025-01-06 04:00:00,6331.635922376676,8252.34256580237
2025-01-06 05:00:00,6442.4298821141765,8143.750918185948
2025-01-06 06:00:00,6371.1209051521055,8181.462261642713
2025-01-06 07:00:00,6185.215787552295,8068.8347768186095
2025-01-06 08:00:00,5767.291690465716,7056.148854909626
2025-01-06 09:00:00,5396.19826062679,6144.430147515777
2025-01-06 10:00:00,5228.951773602346,5901.856445560163
2025-01-06 11:00:00,5221.245661784615,5651.513275874814
2025-01-06 12:00:00,5384.793155235925,5460.17070029513
2025-01-06 13:00:00,5645.735089845691,4959.172210676624
2025-01-06 14:00:00,6196.19691376634,5409.978566838984
2025-01-06 15:00:00,7059.983862212045,6226.472125999686
2025-01-06 16:00:00,7995.257680588756,7077.094029112583
2025-01-06 17:00:00,8591.060732675416,7938.941680202645
2025-01-06 18:00:00,8743.216861465502,8711.526352748553
2025-01-06 19:00:00,8594.004349162646,8865.396582224093
2025-01-06 20:00:00,8259.729760541864,8825.51150423547
2025-01-06 21:00:00,7927.88705834221,8837.103686061295
2025-01-06 22:00:00,7581.502328675276,8177.482425358253
2025-01-06 23:00:00,7202.4523989368245,7780.990136926192
2025-01-07 00:00:00,6834.890146952974,7960.731078781466
2025-01-07 01:00:00,6484.164462372593,7944.73899001549
2025-01-07 02:00:00,6299.4937848230375,7526.365346976297
2025-01-07 03:00:00,6235.393341772124,7784.979207468616
2025-01-07 04:00:00,6324.712648825262,7853.930587193194
2025-01-07 05:00:00,6435.5133201467215,8208.81215789166
2025-01-07 06:00:00,6364.393626565261,8333.351338888797
2025-01-07 07:00:00,6178.637992139467,8348.34293660098
2025-01-07 08:00:00,5761.0705022130205,8244.984925585532
2025-01-07 09:00:00,5390.323750829146,7512.273686027463
2025-01-07 10:00:00,5223.365098325763,6983.678458719808
2025-01-07 11:00:00,5215.808990429594,6679.83241762216
2025-01-07 12:00:00,5379.137348065704,6928.508786336651
2025-01-07 13:00:00,5639.822761943821,7002.09471993276
2025-01-07 14:00:00,6189.78170253104,7022.0331702131525
2025-01-07 15:00:00,7052.787997764784,7810.58351702033
2025-01-07 16:00:00,7987.295463959139,8755.912786221537
2025-01-07 17:00:00,8582.922134389679,9646.304704984892
2025-01-07 18:00:00,8734.944062370543,10286.523068799177
2025-01-07 19:00:00,8585.858850757384,10928.378593510013
2025-01-07 20:00:00,8251.874487964265,10902.366089996522
2025-01-07 21:00:00,7920.236806888846,10947.851021047332
2025-01-07 22:00:00,7574.091085748081,10098.987293750919
2025-01-07 23:00:00,7195.352218106792,8879.178106269208
2025-01-08 00:00:00,6828.024011365251,7977.9368450198235
2025-01-08 01:00:00,6477.566738606387,7323.546722551951
2025-01-08 02:00:00,6293.0673540415955,7033.4678761937
2025-01-08 03:00:00,6229.037262449181,6426.007342756098
2025-01-08 04:00:00,6318.300575989815,5985.257660622474
2025-01-08 05:00:00,6429.035426195967,5638.805095492516
2025-01-08 06:00:00,6358.028325430827,5377.198008002532
2025-01-08 07:00:00,6172.441444468009,5215.144595204703
2025-01-08 08:00:00,5755.260779477075,4103.454741261352
2025-01-08 09:00:00,5384.868400907228,3292.6916017827243
2025-01-08 10:00:00,5218.117193735154,3606.251528630404
2025-01-08 11:00:00,5210.62024692046,4306.549631636993
2025-01-08 12:00:00,5373.768358359044,5228.6737341908565
2025-01-08 13:00:00,5634.199963907042,5924.173994433046
2025-01-08 14:00:00,6183.637366942685,6386.419750768566
2025-01-08 15:00:00,7045.828337016246,7152.179139045959
2025-01-08 16:00:00,7979.4816255211645,8189.698410944009
2025-01-08 17:00:00,8574.677263382848,9153.096107636668
2025-01-08 18:00:00,8726.556772952526,10297.246271252354
2025-01-08 19:00:00,8577.609663299838,11359.96074349172
2025-01-08 20:00:00,8243.936512615775,11409.826463155843
2025-01-08 21:00:00,7912.577637607444,11414.771549298726
2025-01-08 22:00:00,7566.732010164809,10551.210861570251
2025-01-08 23:00:00,7188.339497249544,9805.095108914447
2025-01-09 00:00:00,6821.322630408541,8941.717552828059
2025-01-09 01:00:00,6471.178791629465,8815.105847333765
2025-01-09 02:00:00,6286.855311509558,8781.547640451397
2025-01-09 03:00:00,6222.890229503033,9061.99439309536
2025-01-09 04:00:00,6312.078205443235,9216.337898244365
2025-01-09 05:00:00,6422.720919293975,8829.795157865661
2025-01-09 06:00:00,6351.798475371443,7898.398060240965
2025-01-09 07:00:00,6166.387246045086,7055.6854834926025
2025-01-09 08:00:00,5749.604147743281,6857.6752606838145
2025-01-09 09:00:00,5379.568719528506,6402.163825730943
2025-01-09 10:00:00,5212.995619330049,6467.536280737287
2025-01-09 11:00:00,5205.524788107952,6837.2803834457245
2025-01-09 12:00:00,5368.50689548963,7254.506773223588
2025-01-09 13:00:00,5628.685834658851,7148.354599295442
2025-01-09 14:00:00,6177.595243165222,7239.474273053855
2025-01-09 15:00:00,7038.958791820787,7268.18880482505
2025-01-09 16:00:00,7971.726516209568,8050.150864764688
2025-01-09 17:00:00,8566.398856000438,8719.181297278996
2025-01-09 18:00:00,8718.133048914384,9211.054723438001
2025-01-09 19:00:00,8569.327880939098,9637.507274677602
2025-01-09 20:00:00,8235.973376303755,9653.839301127098
2025-01-09 21:00:00,7904.9199464135145,9531.118190214054
2025-01-09 22:00:00,7559.396423962515,8871.002726972525
2025-01-09 23:00:00,7181.362876478499,8338.175692048242
2025-01-10 00:00:00,6814.685243851392,8134.77717361097
2025-01-10 01:00:00,6464.871005401859,8194.048839571768
2025-01-10 02:00:00,6280.7249969990335,8294.30255974035
2025-01-10 03:00:00,6216.822943482955,8253.05329784665
2025-01-10 04:00:00,6305.928599284761,8536.196193005677
2025-01-10 05:00:00,6416.469671523511,8800.848831163938
2025-01-10 06:00:00,6345.6216813550955,8315.698903592813
2025-01-10 07:00:00,6160.388502003061,7881.307163917119
2025-01-10 08:00:00,5744.006628634958,7476.053326270773
2025-01-10 09:00:00,5374.328867458751,6888.502969920447
2025-01-10 10:00:00,5207.9231039982815,6611.802471887627
2025-01-10 11:00:00,5200.466364729936,6227.322056295017
2025-01-10 12:00:00,5363.28774540826,6121.920463663516
2025-01-10 13:00:00,5623.214588800683,6056.7948263708295
2025-01-10 14:00:00,6171.593981819088,6078.7472307028875
2025-01-10 15:00:00,7032.126223449971,6934.456590079496
2025-01-10 16:00:00,7963.9975245771075,8333.43126341152
2025-01-10 17:00:00,8558.113362693042,9138.870504064598
2025-01-10 18:00:00,8709.701275356514,9639.769329268025
2025-01-10 19:00:00,8561.039356829999,9836.525878234996
2025-01-10 20:00:00,8228.006003166374,9533.673944591446
2025-01-10 21:00:00,7897.267509901133,9608.655125538042
2025-01-10 22:00:00,7552.073892123448,8929.506516311023
2025-01-10 23:00:00,7174.403671206179,8221.956862642306
2025-01-11 00:00:00,6808.075199601258,7729.301067775519
2025-01-11 01:00:00,6458.596232701625,7412.4614347456
2025-01-11 02:00:00,6274.628156173374,7758.359710455129
2025-01-11 03:00:00,6210.788372459103,8009.069414549544
2025-01-11 04:00:00,6299.809221631818,8301.072210825172
2025-01-11 05:00:00,6410.245261005252,8773.716095080244
2025-01-11 06:00:00,6339.467971285128,8996.654918652777
2025-01-11 07:00:00,6154.413603688245,9176.604694631918
2025-01-11 08:00:00,5738.434037350589,9309.934227886219
2025-01-11 09:00:00,5369.113983285769,9046.877438983041
2025-01-11 10:00:00,5202.871539954964,8685.348042892958
2025-01-11 11:00:00,5195.424514998077,8414.9977293603
2025-01-11 12:00:00,5358.087185592088,8803.525090754156
2025-01-11 13:00:00,5617.7622958502125,9259.61810408196
2025-01-11 14:00:00,6165.611265557814,9462.854249136017
2025-01-11 15:00:00,7025.311300408382,10220.335946192907
2025-01-11 16:00:00,7956.282784698876,11045.781486439517
2025-01-11 17:00:00,8549.830398974798,10829.704521981945
2025-01-11 18:00:00,8701.271771369307,10817.237436866832
2025-01-11 19:00:00,8552.753489238698,10765.92570171368
2025-01-11 20:00:00,8220.041998898047,10090.644954900077
2025-01-11 21:00:00,7889.6216971124595,9508.978312816296
2025-01-11 22:00:00,7544.7606148926825,8584.128880363865
2025-01-11 23:00:00,7167.455081392025,7640.918983541534
2025-01-12 00:00:00,6801.479162752634,7192.810670751692
2025-01-12 01:00:00,6452.337321574375,7086.7732799049445
2025-01-12 02:00:00,6268.547234508779,7054.488388603628
2025-01-12 03:00:00,6204.769406554033,7274.263414138536
2025-01-12 04:00:00,6293.704597841743,7150.534865125521
2025-01-12 05:00:00,6404.034436796107,7340.5798974401305
2025-01-12 06:00:00,6333.32644015131,7578.928008135811
2025-01-12 07:00:00,6148.45105095474,7807.048515760237
2025-01-12 08:00:00,5732.873936997554,7819.630839321752
2025-01-12 09:00:00,5363.9113842361,6979.563200244865
2025-01-12 10:00:00,5197.830700927991,5666.890830651411
2025-01-12 11:00:00,5190.391793619152,4978.425054869057
2025-01-12 12:00:00,5352.8965846711,5303.268478979608
2025-01-12 13:00:00,5612.3202486489745,6026.686411179598
2025-01-12 14:00:00,6159.638973630115,6194.925849590433
2025-01-12 15:00:00,7018.506987450639,7049.110203699802
2025-01-12 16:00:00,7948.577976141751,8310.147795194953
2025-01-12 17:00:00,8541.55345722164,8934.810390538663
2025-01-12 18:00:00,8692.848285143356,9724.403445261889
2025-01-12 19:00:00,8544.473691522777,9746.10588503464
2025-01-12 20:00:00,8212.084125060974,9169.612090187322
2025-01-12 21:00:00,7881.983001427894,8415.227992055161
2025-01-12 22:00:00,7537.455205873633,7521.459446962252
2025-01-12 23:00:00,7160.514629604473,6854.310257628928
2025-01-13 00:00:00,6794.892279247857,6660.436966755451
2025-01-13 01:00:00,6446.088029840966,6513.350960471622
2025-01-13 02:00:00,6262.475843511286,6963.06349336477
2025-01-13 03:00:00,6198.759819035851,7425.582108626901
2025-01-13 04:00:00,6287.609095892969,8090.722073624502
2025-01-13 05:00:00,6397.832375606773,8888.725660150067
2025-01-13 06:00:00,6327.193117959552,9476.352809995262
2025-01-13 07:00:00,6142.496657454762,9586.447440254373
2025-01-13 08:00:00,5727.321800758231,9090.380583672142
2025-01-13 09:00:00,5358.716454274604,8489.258699349459
2025-01-13 10:00:00,5192.7968644481725,8027.306453378302
2025-01-13 11:00:00,5185.3654896159815,7719.086971820291
2025-01-13 12:00:00,5347.71280017852,8437.47951082282
2025-01-13 13:00:00,5606.885277014659,9316.262457333
2025-01-13 14:00:00,6153.674148823084,9609.696682283648
2025-01-13 15:00:00,7011.710721683464,10181.66992283044
2025-01-13 16:00:00,7940.881522896397,10827.480284242882
2025-01-13 17:00:00,8533.28380272833,11282.023885344383
2025-01-13 18:00:00,8684.432174929923,11571.499459172484
2025-01-13 19:00:00,8536.201200235042,10589.786092643557
2025-01-13 20:00:00,8204.133381331498,9934.591232381383
2025-01-13 21:00:00,7874.351597739691,9199.613642686825
2025-01-13 22:00:00,7530.157156452029,8197.605403854168
2025-01-13 23:00:00,7153.581410619903,7650.783434191376
2025-01-14 00:00:00,6788.312779656793,7110.84808623295
2025-01-14 01:00:00,6439.846083390394,6917.895159359387
2025-01-14 02:00:00,6256.411655958969,6832.180139025757
2025-01-14 03:00:00,6192.757341555001,7124.276505891607
2025-01-14 04:00:00,6281.5206636904695,7504.778803515612
2025-01-14 05:00:00,6391.637319427689,7949.703977098626
2025-01-14 06:00:00,6321.0665570986375,7873.2241106186775
2025-01-14 07:00:00,6136.548896992506,7962.97150218875
2025-01-14 08:00:00,5721.7759788424455,7824.812543899219
2025-01-14 09:00:00,5353.527511374398,7717.981219627575
2025-01-14 10:00:00,5187.768673589198,7218.313756462296
2025-01-14 11:00:00,5180.344613962816,6625.315544974354
2025-01-14 12:00:00,5342.534686054857,6957.12338416818
2025-01-14 13:00:00,5601.456224657291,7245.306268496606
2025-01-14 14:00:00,6147.715711990998,7435.256632584982
2025-01-14 15:00:00,7004.921566885443,8063.219705818552
2025-01-14 16:00:00,7933.192847149947,8980.265954704464
2025-01-14 17:00:00,8525.021890768381,9811.985595435493
2025-01-14 18:00:00,8676.023929724914,10550.224658072146
2025-01-14 19:00:00,8527.93646019339,10688.988614824444
2025-01-14 20:00:00,8196.190126563697,10443.663879186686
2025-01-14 21:00:00,7866.727545105126,10245.544432235662
2025-01-14 22:00:00,7522.866277281648,9268.274698613843
2025-01-14 23:00:00,7146.655091056529,7890.391061435963
2025-01-15 00:00:00,6781.740016482792,7138.529468491777
2025-01-15 01:00:00,6433.610651366813,6797.8807607087665
2025-01-15 02:00:00,6250.353821784756,6934.80709039612
2025-01-15 03:00:00,6186.761145494077,7674.2096314605005
2025-01-15 04:00:00,6275.438551220834,8036.849323464473
2025-01-15 05:00:00,6385.44862514548,7459.401828970436
2025-01-15 06:00:00,6314.94622739298,7342.982823055367
2025-01-15 07:00:00,6130.607210916594,7807.985361152914
2025-01-15 08:00:00,5716.235867885389,7420.130193717124
2025-01-15 09:00:00,5348.343940658622,6669.012826678798
2025-01-15 10:00:00,5182.7456318144905,5996.598986069058
2025-01-15 11:00:00,5175.328803938851,5405.683657786285
