datetime,forecast_demand_trend,forecast_demand_fluctuations
2025-01-01 01:00:00,7097.114392084453,7283.953418469415
2025-01-01 02:00:00,6938.677834783737,7500.347435400724
2025-01-01 03:00:00,6852.72035225097,7363.020292032503
2025-01-01 04:00:00,6888.288395806881,7131.08405967415
2025-01-01 05:00:00,6931.614697842733,6706.916226100744
2025-01-01 06:00:00,6790.068256813975,6426.979669090244
2025-01-01 07:00:00,6573.085290473086,6022.061892492751
2025-01-01 08:00:00,6131.245108683858,5646.116080104809
2025-01-01 09:00:00,5732.111584039645,5517.050481329186
2025-01-01 10:00:00,5508.003205871651,5465.894487779833
2025-01-01 11:00:00,5443.9853729627375,5033.424592431462
2025-01-01 12:00:00,5605.423786256359,4757.387908184344
2025-01-01 13:00:00,5853.694127990784,4920.043880646149
2025-01-01 14:00:00,6387.057755861419,5719.218352031262
2025-01-01 15:00:00,7231.095241090256,6633.916735581162
2025-01-01 16:00:00,8128.218841020021,7145.971681086375
2025-01-01 17:00:00,8621.500641245935,6975.868441680713
2025-01-01 18:00:00,8765.384129553897,7076.436504290476
2025-01-01 19:00:00,8614.893197871079,7214.603279524292
2025-01-01 20:00:00,8283.275112814159,7258.28864872816
2025-01-01 21:00:00,7975.1503983298035,7538.8090841319945
2025-01-01 22:00:00,7648.093549246896,7436.11991149446
2025-01-01 23:00:00,7278.751383398334,7138.669857959975
2025-01-02 00:00:00,6937.531446396366,6796.343298211581
2025-01-02 01:00:00,6601.100461843235,6296.027633260985
2025-01-02 02:00:00,6416.1531181762775,6596.438560866701
2025-01-02 03:00:00,6348.697002378198,6225.506761310586
2025-01-02 04:00:00,6430.129784443941,6131.838599059512
2025-01-02 05:00:00,6530.599534564737,6278.772302975058
2025-01-02 06:00:00,6447.827423800398,7041.602244917993
2025-01-02 07:00:00,6263.434574271865,6911.571615189478
2025-01-02 08:00:00,5847.751998460326,6338.0075748870095
2025-01-02 09:00:00,5476.020096364438,5787.077892523353
2025-01-02 10:00:00,5296.74182994436,5206.7437360768445
2025-01-02 11:00:00,5276.19869697694,5396.603777702366
2025-01-02 12:00:00,5445.577957731891,6086.247601012719
2025-01-02 13:00:00,5707.731676008882,7471.804524335215
2025-01-02 14:00:00,6257.5543671331,8278.27972221209
2025-01-02 15:00:00,7119.677762507569,8921.89434639674
2025-01-02 16:00:00,8046.2032174958895,9384.643009044972
2025-01-02 17:00:00,8608.866320694393,9687.067085367267
2025-01-02 18:00:00,8760.399830319358,10037.682208714927
2025-01-02 19:00:00,8612.080618237433,9685.62506281696
2025-01-02 20:00:00,8279.425064174873,9661.19826065778
2025-01-02 21:00:00,7956.538056833803,9415.646347935404
2025-01-02 22:00:00,7617.298850111375,8843.210143394028
2025-01-02 23:00:00,7241.699882609972,8139.950689353825
2025-01-03 00:00:00,6883.459300916496,7249.2247250731225
2025-01-03 01:00:00,6537.6465422038145,6804.317351746729
2025-01-03 02:00:00,6352.910987206849,6708.366579060963
2025-01-03 03:00:00,6287.819967008259,6357.613515700698
2025-01-03 04:00:00,6374.784483921896,6782.972663434339
2025-01-03 05:00:00,6482.345714793222,7331.9623331547
2025-01-03 06:00:00,6407.080357640254,7618.257959591146
2025-01-03 07:00:00,6221.5799292502525,7426.208139260799
2025-01-03 08:00:00,5803.9315334552475,7226.674588151197
2025-01-03 09:00:00,5432.148138219668,7197.337574776202
2025-01-03 10:00:00,5260.492576140305,7326.344539324425
2025-01-03 11:00:00,5248.3240738280665,7444.317778093289
2025-01-03 12:00:00,5414.238477676219,7077.636015626834
2025-01-03 13:00:00,5676.059066318656,7224.551551264108
2025-01-03 14:00:00,6227.185185176486,7424.389341018046
2025-01-03 15:00:00,7091.7515505748,8108.130029105645
2025-01-03 16:00:00,8025.412769707331,9209.778522739309
2025-01-03 17:00:00,8610.480278538333,9396.302441727443
2025-01-03 18:00:00,8762.670262695596,9556.153054461936
2025-01-03 19:00:00,8613.55764394827,9661.813117686519
2025-01-03 20:00:00,8279.350529094307,9184.981731086893
2025-01-03 21:00:00,7950.161936108955,8801.160305022002
2025-01-03 22:00:00,7605.769231103527,8520.16953073176
2025-01-03 23:00:00,7227.357639451454,7955.085398662985
2025-01-04 00:00:00,6862.518778327176,6671.1915084855755
2025-01-04 01:00:00,6512.987987430499,5599.317613405436
2025-01-04 02:00:00,6328.013523098576,5345.219342812677
2025-01-04 03:00:00,6263.468388412326,5315.429658989263
2025-01-04 04:00:00,6352.098374312229,6143.879415202447
2025-01-04 05:00:00,6461.930677208156,6747.086948979747
2025-01-04 06:00:00,6389.2423332163235,7063.830935306272
2025-01-04 07:00:00,6203.291592860766,7308.139549531262
2025-01-04 08:00:00,5785.052770989304,7218.975936225301
2025-01-04 09:00:00,5413.3699277812575,6933.079280208631
2025-01-04 10:00:00,5244.499605216815,6394.043945284524
2025-01-04 11:00:00,5235.3073156934015,5749.740669506136
2025-01-04 12:00:00,5399.799344322826,4994.660841997187
2025-01-04 13:00:00,5661.287267153146,5041.353329544344
2025-01-04 14:00:00,6212.50607294951,5274.631411126859
2025-01-04 15:00:00,7077.393432436282,6014.461603635464
2025-01-04 16:00:00,8013.04430921104,7072.204781026989
2025-01-04 17:00:00,8605.869276048135,8381.484802929923
2025-01-04 18:00:00,8758.185062406272,8689.045477299922
2025-01-04 19:00:00,8608.860394064352,8498.128885948949
2025-01-04 20:00:00,8274.282539742393,8243.450623181196
2025-01-04 21:00:00,7942.9964029281655,8028.247666621407
2025-01-04 22:00:00,7596.93456796513,8020.080197489018
2025-01-04 23:00:00,7217.7269354414,7964.922325160128
2025-01-05 00:00:00,6850.709368220439,7504.530777470407
2025-01-05 01:00:00,6500.038063045211,7338.128851083326
2025-01-05 02:00:00,6315.08675546749,7271.8263643058635
2025-01-05 03:00:00,6250.7764587685815,7429.049133851421
2025-01-05 04:00:00,6339.954315559754,8075.419397040383
2025-01-05 05:00:00,6450.541960287791,8471.042877141443
2025-01-05 06:00:00,6378.8329634595175,8486.663548126977
2025-01-05 07:00:00,6192.831648748175,8219.505410116373
2025-01-05 08:00:00,5774.634709922326,7862.213002324403
2025-01-05 09:00:00,5403.216364491431,7657.779374101105
2025-01-05 10:00:00,5235.461294943114,7980.328474327415
2025-01-05 11:00:00,5227.355428488417,7914.473834845864
2025-01-05 12:00:00,5391.228712622482,7875.284228891635
2025-01-05 13:00:00,5652.434197630198,7820.032308308095
2025-01-05 14:00:00,6203.346714675916,7568.342451154855
2025-01-05 15:00:00,7067.817573459066,7874.465534644629
2025-01-05 16:00:00,8003.61474366157,8578.526495113378
2025-01-05 17:00:00,8598.893063919051,8562.40317884465
2025-01-05 18:00:00,8751.160550621273,8454.961791191381
2025-01-05 19:00:00,8601.850679161433,8395.722271864082
2025-01-05 20:00:00,8267.344112232842,8308.619006634697
2025-01-05 21:00:00,7935.499797017778,7853.241809243645
2025-01-05 22:00:00,7589.0445740394225,7267.675361268035
2025-01-05 23:00:00,7209.781236977968,7315.294469586584
2025-01-06 00:00:00,6842.198056023846,7309.932747952247
2025-01-06 01:00:00,6491.328318331526,6840.879572500563
2025-01-06 02:00:00,6306.499329215763,6759.58094456315
2025-01-06 03:00:00,6242.313952825689,6721.491885345301
2025-01-06 04:00:00,6331.635922376676,7178.138301982806
2025-01-06 05:00:00,6442.4298821141765,7697.284376357703
2025-01-06 06:00:00,6371.1209051521055,7676.05507746041
2025-01-06 07:00:00,6185.215787552295,7008.743712569665
2025-01-06 08:00:00,5767.291690465716,6392.141948631799
2025-01-06 09:00:00,5396.19826062679,5660.399436207057
2025-01-06 10:00:00,5228.951773602346,5029.32508122742
2025-01-06 11:00:00,5221.245661784615,4004.3514129532423
2025-01-06 12:00:00,5384.793155235925,4235.678138186476
2025-01-06 13:00:00,5645.735089845691,4796.874513773079
2025-01-06 14:00:00,6196.19691376634,5492.165064298442
2025-01-06 15:00:00,7059.983862212045,6732.408221161577
2025-01-06 16:00:00,7995.257680588756,8355.312244453493
2025-01-06 17:00:00,8591.060732675416,9232.56489783746
2025-01-06 18:00:00,8743.216861465502,9982.847341474244
2025-01-06 19:00:00,8594.004349162646,10176.898621888657
2025-01-06 20:00:00,8259.729760541864,9591.822389106374
2025-01-06 21:00:00,7927.88705834221,8675.380231562278
2025-01-06 22:00:00,7581.502328675276,8314.260368550866
2025-01-06 23:00:00,7202.4523989368245,8192.175062861172
2025-01-07 00:00:00,6834.890146952974,7306.397791880404
2025-01-07 01:00:00,6484.164462372593,6775.193795554334
2025-01-07 02:00:00,6299.4937848230375,7002.589173980681
2025-01-07 03:00:00,6235.393341772124,7308.434132271593
2025-01-07 04:00:00,6324.712648825262,7733.606027775975
2025-01-07 05:00:00,6435.5133201467215,8018.064050150347
2025-01-07 06:00:00,6364.393626565261,7852.353431573399
2025-01-07 07:00:00,6178.637992139467,7534.103839704337
2025-01-07 08:00:00,5761.0705022130205,6939.80505884863
2025-01-07 09:00:00,5390.323750829146,6274.56584524655
2025-01-07 10:00:00,5223.365098325763,5298.098080238928
2025-01-07 11:00:00,5215.808990429594,4425.571770152314
2025-01-07 12:00:00,5379.137348065704,4282.900101250915
2025-01-07 13:00:00,5639.822761943821,4746.281513956503
2025-01-07 14:00:00,6189.78170253104,5179.680255063979
2025-01-07 15:00:00,7052.787997764784,6373.793328139886
2025-01-07 16:00:00,7987.295463959139,7287.720013216749
2025-01-07 17:00:00,8582.922134389679,7879.900492513402
2025-01-07 18:00:00,8734.944062370543,8675.591929099723
2025-01-07 19:00:00,8585.858850757384,8596.29069429344
2025-01-07 20:00:00,8251.874487964265,8070.797405359814
2025-01-07 21:00:00,7920.236806888846,7455.322587268379
2025-01-07 22:00:00,7574.091085748081,7251.028909598455
2025-01-07 23:00:00,7195.352218106792,7550.682603946331
2025-01-08 00:00:00,6828.024011365251,7463.148438640911
2025-01-08 01:00:00,6477.566738606387,6992.445988692903
2025-01-08 02:00:00,6293.0673540415955,6630.223394632649
2025-01-08 03:00:00,6229.037262449181,6943.866405912844
2025-01-08 04:00:00,6318.300575989815,7487.270937778326
2025-01-08 05:00:00,6429.035426195967,7685.257104041829
2025-01-08 06:00:00,6358.028325430827,7899.457278473081
2025-01-08 07:00:00,6172.441444468009,8534.023480191043
2025-01-08 08:00:00,5755.260779477075,8776.14175292453
2025-01-08 09:00:00,5384.868400907228,8923.183886244104
2025-01-08 10:00:00,5218.117193735154,8504.458633182901
2025-01-08 11:00:00,5210.62024692046,7693.57662060569
2025-01-08 12:00:00,5373.768358359044,6962.437860861243
2025-01-08 13:00:00,5634.199963907042,6679.286394888975
2025-01-08 14:00:00,6183.637366942685,6933.398611288143
2025-01-08 15:00:00,7045.828337016246,7641.28296812308
2025-01-08 16:00:00,7979.4816255211645,8558.962625067159
2025-01-08 17:00:00,8574.677263382848,9069.270817869126
2025-01-08 18:00:00,8726.556772952526,9767.904551106922
2025-01-08 19:00:00,8577.609663299838,9997.08936645454
2025-01-08 20:00:00,8243.936512615775,9847.35526495527
2025-01-08 21:00:00,7912.577637607444,9593.260130136308
2025-01-08 22:00:00,7566.732010164809,9268.875007934123
2025-01-08 23:00:00,7188.339497249544,8918.751034574627
2025-01-09 00:00:00,6821.322630408541,8105.287415891943
2025-01-09 01:00:00,6471.178791629465,7502.071173966393
2025-01-09 02:00:00,6286.855311509558,7624.764514143721
2025-01-09 03:00:00,6222.890229503033,8022.562839032855
2025-01-09 04:00:00,6312.078205443235,8536.578500073882
2025-01-09 05:00:00,6422.720919293975,8847.14362636907
2025-01-09 06:00:00,6351.798475371443,8480.882069322373
2025-01-09 07:00:00,6166.387246045086,8174.059619988385
2025-01-09 08:00:00,5749.604147743281,7536.845055555979
2025-01-09 09:00:00,5379.568719528506,6859.8417437996395
2025-01-09 10:00:00,5212.995619330049,6476.165592046332
2025-01-09 11:00:00,5205.524788107952,5704.408923003054
2025-01-09 12:00:00,5368.50689548963,4966.3822055454575
2025-01-09 13:00:00,5628.685834658851,4703.550738018435
2025-01-09 14:00:00,6177.595243165222,5227.679411178049
2025-01-09 15:00:00,7038.958791820787,6533.665492258441
2025-01-09 16:00:00,7971.726516209568,7675.976320186255
2025-01-09 17:00:00,8566.398856000438,8133.440372409251
2025-01-09 18:00:00,8718.133048914384,8301.803526732578
2025-01-09 19:00:00,8569.327880939098,8478.060802227905
2025-01-09 20:00:00,8235.973376303755,8357.352779134973
2025-01-09 21:00:00,7904.9199464135145,8072.406920058002
2025-01-09 22:00:00,7559.396423962515,8148.856364859245
2025-01-09 23:00:00,7181.362876478499,8223.307481087719
2025-01-10 00:00:00,6814.685243851392,8245.856520937847
2025-01-10 01:00:00,6464.871005401859,8430.879243875439
2025-01-10 02:00:00,6280.7249969990335,8570.457540339428
2025-01-10 03:00:00,6216.822943482955,8999.94136280811
2025-01-10 04:00:00,6305.928599284761,9944.433642826954
2025-01-10 05:00:00,6416.469671523511,9473.834761742137
2025-01-10 06:00:00,6345.6216813550955,9121.047569050934
2025-01-10 07:00:00,6160.388502003061,8307.172607179562
2025-01-10 08:00:00,5744.006628634958,7262.437662832767
2025-01-10 09:00:00,5374.328867458751,6895.453213174773
2025-01-10 10:00:00,5207.9231039982815,6985.679193480397
2025-01-10 11:00:00,5200.466364729936,6580.426133664211
2025-01-10 12:00:00,5363.28774540826,6657.461163106691
2025-01-10 13:00:00,5623.214588800683,6829.075830798769
2025-01-10 14:00:00,6171.593981819088,7565.470077143609
2025-01-10 15:00:00,7032.126223449971,8823.36188717209
2025-01-10 16:00:00,7963.9975245771075,9652.829656727696
2025-01-10 17:00:00,8558.113362693042,9638.784036231671
2025-01-10 18:00:00,8709.701275356514,9581.070620477023
2025-01-10 19:00:00,8561.039356829999,9367.99427401343
2025-01-10 20:00:00,8228.006003166374,8433.946464056104
2025-01-10 21:00:00,7897.267509901133,7223.089390312536
2025-01-10 22:00:00,7552.073892123448,6674.242819408308
2025-01-10 23:00:00,7174.403671206179,6190.225252629251
2025-01-11 00:00:00,6808.075199601258,6354.072503640528
2025-01-11 01:00:00,6458.596232701625,6816.96399177897
2025-01-11 02:00:00,6274.628156173374,7371.715606672927
2025-01-11 03:00:00,6210.788372459103,7685.884514182423
2025-01-11 04:00:00,6299.809221631818,8051.727663283074
2025-01-11 05:00:00,6410.245261005252,7686.211090557419
2025-01-11 06:00:00,6339.467971285128,7079.279456053863
2025-01-11 07:00:00,6154.413603688245,6209.037531401938
2025-01-11 08:00:00,5738.434037350589,5614.529231926109
2025-01-11 09:00:00,5369.113983285769,5090.374336301022
2025-01-11 10:00:00,5202.871539954964,4393.833435938806
2025-01-11 11:00:00,5195.424514998077,3318.6520992520923
2025-01-11 12:00:00,5358.087185592088,3065.697769044057
2025-01-11 13:00:00,5617.7622958502125,3494.1921309950376
2025-01-11 14:00:00,6165.611265557814,4177.093715018
2025-01-11 15:00:00,7025.311300408382,5641.110223660623
2025-01-11 16:00:00,7956.282784698876,6758.9179973859855
2025-01-11 17:00:00,8549.830398974798,7343.204461480727
2025-01-11 18:00:00,8701.271771369307,7603.444076344082
2025-01-11 19:00:00,8552.753489238698,7810.656740710242
2025-01-11 20:00:00,8220.041998898047,7751.181253523358
2025-01-11 21:00:00,7889.6216971124595,7600.835331657922
2025-01-11 22:00:00,7544.7606148926825,7524.82858895175
2025-01-11 23:00:00,7167.455081392025,6751.204516136033
2025-01-12 00:00:00,6801.479162752634,6124.60133874436
2025-01-12 01:00:00,6452.337321574375,6307.720240460177
2025-01-12 02:00:00,6268.547234508779,6728.789086473644
2025-01-12 03:00:00,6204.769406554033,7393.498182513877
2025-01-12 04:00:00,6293.704597841743,8021.315573823217
2025-01-12 05:00:00,6404.034436796107,7635.486232683627
2025-01-12 06:00:00,6333.32644015131,6937.10134762688
2025-01-12 07:00:00,6148.45105095474,6118.47379399413
2025-01-12 08:00:00,5732.873936997554,5635.598329134404
2025-01-12 09:00:00,5363.9113842361,5679.9526641953125
2025-01-12 10:00:00,5197.830700927991,5962.410829512877
2025-01-12 11:00:00,5190.391793619152,6076.565037797048
2025-01-12 12:00:00,5352.8965846711,6562.402952730106
2025-01-12 13:00:00,5612.3202486489745,6862.079012275286
2025-01-12 14:00:00,6159.638973630115,7376.581473590695
2025-01-12 15:00:00,7018.506987450639,8598.48387685766
2025-01-12 16:00:00,7948.577976141751,9809.441722468464
2025-01-12 17:00:00,8541.55345722164,10586.043861607071
2025-01-12 18:00:00,8692.848285143356,11369.871942731981
2025-01-12 19:00:00,8544.473691522777,11821.783992943943
2025-01-12 20:00:00,8212.084125060974,11643.00363699749
2025-01-12 21:00:00,7881.983001427894,10728.206144944592
2025-01-12 22:00:00,7537.455205873633,9398.668268684922
2025-01-12 23:00:00,7160.514629604473,8148.911568174211
2025-01-13 00:00:00,6794.892279247857,7252.687596463528
2025-01-13 01:00:00,6446.088029840966,6922.63483157647
2025-01-13 02:00:00,6262.475843511286,7143.840581111765
2025-01-13 03:00:00,6198.759819035851,7786.773909459117
2025-01-13 04:00:00,6287.609095892969,8781.25181130088
2025-01-13 05:00:00,6397.832375606773,9512.104052104653
2025-01-13 06:00:00,6327.193117959552,9296.474127019199
2025-01-13 07:00:00,6142.496657454762,9050.682443059097
2025-01-13 08:00:00,5727.321800758231,8793.644404519633
2025-01-13 09:00:00,5358.716454274604,8296.433795249099
2025-01-13 10:00:00,5192.7968644481725,7523.633840694364
2025-01-13 11:00:00,5185.3654896159815,6588.899629904429
2025-01-13 12:00:00,5347.71280017852,6074.937631955737
2025-01-13 13:00:00,5606.885277014659,6370.117222730535
2025-01-13 14:00:00,6153.674148823084,7117.764843973325
2025-01-13 15:00:00,7011.710721683464,8151.587950281821
2025-01-13 16:00:00,7940.881522896397,9375.889258568186
2025-01-13 17:00:00,8533.28380272833,9474.79123611013
2025-01-13 18:00:00,8684.432174929923,9902.220129185633
2025-01-13 19:00:00,8536.201200235042,9909.62183523191
2025-01-13 20:00:00,8204.133381331498,9177.014356535117
